Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Collection URL (product.metafields.custom.collection_url),enable_best_price (product.metafields.custom.enable_best_price),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / United States,Price / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status,Video Src,Video Name,Variants,Battery Option Value,Battery Price
rush-order,Rush Order,"<div class=""card""><div class=""card__header"">
                    
                  </div><div class=""card__section"">
                      <div class=""rte text--pull"">
                        <p></p>
                      </div></div>
            </div>",Hobbytron,Home > All > Rush Order,,,True,,,,,,,,0,shopify,10,deny,manual,9.49,,False,True,,https://hobbytron.com/cdn/shop/products/shipped_1024x.png,,,,,,,,,,New,,,,,,,,True,,,,lb,,9.99,True,True,,,,,,,active,,,"{'id': 43731026641207, 'title': 'Default Title', 'option1': '', 'option2': None, 'option3': None, 'sku': '', 'requires_shipping': False, 'taxable': True, 'featured_image': None, 'available': True, 'name': 'Rush Order', 'public_title': None, 'options': ['Default Title'], 'price': 999, 'weight': 0, 'compare_at_price': None, 'inventory_management': None, 'barcode': '', 'requires_selling_plan': False, 'selling_plan_allocations': []}",,
package-protection,,,,,,,,,,,,,,,,,,,,,,,,,https://hobbytron.com/cdn/shop/products/security_1024x.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spider-man-rc-helicopter,Spider-Man IR Remote Control Flying Figure,"<div class=""card""><div class=""card__header"">
                    
                  </div><div class=""card__section"">
                      <div class=""rte text--pull"">
                        <img alt="""" src=""https://cdn.shopify.com/s/files/1/0282/3300/7207/files/spider_man_flying_figure.png?v=1623448880"" data-mce-src=""https://cdn.shopify.com/s/files/1/0282/3300/7207/files/spider_man_flying_figure.png?v=1623448880"" data-mce-fragment=""1"">
<p>Put a stop to The Sinister 6 with our brand new Marvel's Spider-Man Jetpack 2CH IR RC Helicopter! Villains are no match for Spidey when he straps on his jetpack. Twin Rotors and a Stabilizer Bar make this awesome helicopter ton of fun and easy to fly even for beginners! With 3 different superhero action phrases and LED jetpack lights, it's more fun than ever to put a stop to crime!</p>
<p><iframe title=""YouTube video player"" src=""https://www.youtube.com/embed/MYhXqmJdovI?rel=0"" height=""315"" width=""560"" class=""ui-droppable"" allowfullscreen="""" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" frameborder=""0""></iframe></p>
<p><strong>Features:</strong></p>
<ul>
<li>Marvel Licensed</li>
<li>Electric Powered</li>
<li>3 Variant Heroic Action Phrases</li>
<li>Twin Rotors for Stability and Control</li>
<li>Jetpack LED Lights</li>
</ul>
<p><strong>Includes:</strong></p>
<ul>
<li>Ultimate Spider-Man Vs The Sinister 6 Jetpack 2CH IR RC Helicopter</li>
<li>IR Transmitter</li>
<li>USB Charging Cable</li>
<li>Spare Rotor Blades</li>
<li>Internal Rechargeable Battery</li>
<li>Instruction Manual</li>
</ul>
<p><img src=""https://cdn.shopify.com/s/files/1/0282/3300/7207/products/03_a285fc1c-01ae-43ed-b482-d61f3ecc29b6_1000x.png?v=1622668203""></p>
<p><strong>Specifications:</strong></p>
<ul>
<li>Flight Time: 5 to 7 minutes (approx.)</li>
<li>Flight Altitude: 32 ft.</li>
<li>Flight Distance: 26-32 ft.</li>
<li>Charging Time: 15-30&nbsp;minutes</li>
<li>Length: 4.5 inches</li>
<li>Width: 3 inches</li>
<li>Height: 8.25 inches</li>
<li>Age: 8+</li>
</ul>
<p><strong>Battery Requirements:</strong></p>
<ul>
<li>Vehicle: 3.7V 220mAh Rechargeable Battery <strong>(Included)</strong>
</li>
<li>Charger: USB Charger Cable <strong>(Included)</strong>
</li>
<li>Transmitter: 6 AA Batteries<strong>&nbsp;(Not Included)</strong>
</li>
</ul>
<p><img src=""https://cdn.shopify.com/s/files/1/0282/3300/7207/files/spider_rotor.png?v=1623449661"" alt=""""></p>
                      </div></div>
            </div>",Hobbytron,Home > All > Spider-Man IR Remote Control Flying F...,,"flying figure, Man, Spider, spider-man, spiderman",True,Battery,None,,,,,ZX-34878,4.99,shopify,10,deny,manual,66.45,99.99,True,True,,https://hobbytron.com/cdn/shop/files/spiderman_1024x.jpg,,,,,,,,,,New,,,,,,,,True,,,,lb,,69.95,True,True,,,,,,,active,https://www.youtube.com/embed/MYhXqmJdovI?rel=0,,"{'id': 39326775836775, 'title': 'Default Title', 'option1': 'None', 'option2': None, 'option3': None, 'sku': 'ZX-34878', 'requires_shipping': True, 'taxable': True, 'featured_image': None, 'available': True, 'name': 'Spider-Man IR Remote Control Flying Figure', 'public_title': None, 'options': ['Default Title'], 'price': 6995, 'weight': 499, 'compare_at_price': 9999, 'inventory_management': 'shopify', 'barcode': '813023018781', 'requires_selling_plan': False, 'selling_plan_allocations': []}",AA Batteries 8Pack,9.95
spider-man-rc-helicopter,,,,,,,,,,,,,,,,,,,,,,,,,https://hobbytron.com/cdn/shop/files/spiderFF_6ea6dc97-57b1-490b-941e-616d3c454ee8_1024x.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA Batteries 8Pack,9.95
spider-man-rc-helicopter,,,,,,,,,,,,,,,,,,,,,,,,,https://hobbytron.com/cdn/shop/products/spiderman6_1024x.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA Batteries 8Pack,9.95
spider-man-rc-helicopter,,,,,,,,,,,,,,,,,,,,,,,,,https://hobbytron.com/cdn/shop/products/03_624b61ea-6398-44e0-8bfa-12f0385dc649_1024x.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA Batteries 8Pack,9.95
spider-man-rc-helicopter,,,,,,,,,,,,,,,,,,,,,,,,,https://hobbytron.com/cdn/shop/products/05_e3864a54-38fd-4327-af69-030390622dde_1024x.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA Batteries 8Pack,9.95
spider-man-rc-helicopter,,,,,,,,,,,,,,,,,,,,,,,,,https://hobbytron.com/cdn/shop/products/06_26362106-42ab-4f81-9607-2d39612442d4_1024x.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA Batteries 8Pack,9.95
spider-man-rc-helicopter,,,,,,,,,,,,,,,,,,,,,,,,,https://hobbytron.com/cdn/shop/products/hqdefault_34704e5e-bdb0-48ba-a658-e6b75b10527b_1024x.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA Batteries 8Pack,9.95
spider-man-rc-helicopter,,,,,,,,,,,,,,,,,,,,,,,,,https://hobbytron.com/cdn/shop/products/04_de1ab5c9-241d-4f52-b7aa-137dcf6b59b3_1024x.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AA Batteries 8Pack,9.95
