Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Collection URL (product.metafields.custom.collection_url),enable_best_price (product.metafields.custom.enable_best_price),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / United States,Price / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status,Video Src,Video Name,Variants,Battery Option Value,Battery Price
diecast-cruisers-catapult-truck-13-piece-playset,,,,,,,,,,,,,,,,,,,,,,,,,https://hobbytron.com/cdn/shop/products/DIECAST_CRUISERS-35147-CATAPULT-TRUCK-FRONT-ANGLE_1024x.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diecast-cruisers-catapult-truck-13-piece-playset,,,,,,,,,,,,,,,,,,,,,,,,,https://hobbytron.com/cdn/shop/products/DIECAST_CRUISERS-35147-CATAPULT-TRUCK-BACK-ANGLE_1024x.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diecast-cruisers-catapult-truck-13-piece-playset,,,,,,,,,,,,,,,,,,,,,,,,,https://hobbytron.com/cdn/shop/products/DIECAST_CRUISERS-35147-CATAPULT-TRUCK-ACCESSORIES_1024x.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diecast-cruisers-catapult-truck-13-piece-playset,,,,,,,,,,,,,,,,,,,,,,,,,https://hobbytron.com/cdn/shop/products/DIECAST_CRUISERS-35147-CATAPULT-TRUCK-BOX_1024x.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diecast-cruisers-catapult-truck-13-piece-playset,,,,,,,,,,,,,,,,,,,,,,,,,https://hobbytron.com/cdn/shop/products/DIECAST_CRUISERS-35147-CATAPULT-TRUCK-CARS_1024x.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diecast-cruisers-catapult-truck-13-piece-playset,,,,,,,,,,,,,,,,,,,,,,,,,https://hobbytron.com/cdn/shop/products/DIECAST_CRUISERS-35147-CATAPULT-TRUCK-CARS2_1024x.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
world-tech-toys-envision-spy-drone-4-5ch-2-4ghz-electric-rc,Envision Spy Drone,"<div class=""card""><div class=""card__header"">
                    
                  </div><div class=""card__section"">
                      <div class=""rte text--pull"">
                        <p>Explore and record with the Envision 2.4GHz 4.5CH Camera RC Spy Drone! This awesome RC drone has a built-in picture and video camera which you can store and save data in a 2GB memory card! The body is durable plastic and conveniently lightweight. It also has 4CH controls meaning you can fly up/down, forward/backward, strafe left/right and rotate left/right. The internal gyro means you'll always get a smooth flight. It also comes with a 2.4GHz transmitter, so radio interference won't be a problem! Enjoy recording fun fly times with friends and with the Envision Spy Drone!</p>
<p align=""center""><iframe id=""product_review"" src=""https://www.youtube.com/embed/XmwSaX4gGMg?rel=0"" height=""315"" width=""560"" allowfullscreen="""" frameborder=""0""></iframe></p>
<p><strong>Features:</strong></p>
<ul>
<li>Palm Sized Picture and Video Camera Drone</li>
<li>2.4GHz Transmitter</li>
<li>Removable Rotor Guards</li>
<li>4.5 Channel Built-In Gyro</li>
<li>Multi-Dimensional Flight Capability</li>
<li>Durable Light Weight Body</li>
<li>Speed Control</li>
<li>Flip Stunt Modes</li>
<li>4 Main Rotors</li>
<li>Ready To Fly</li>
</ul>
<p><strong>Includes:</strong></p>
<ul>
<li>Envision 2.4GHz 4.5CH Camera RC Spy Drone</li>
<li>2.4GHz Transmitter</li>
<li>Rotor Guards</li>
<li>USB Memory Card Adapter</li>
<li>2 GB Memory Card</li>
<li>USB Charging Cable</li>
<li>4 Spare Rotor Blades</li>
</ul>
<p><strong>Specifications:</strong></p>
<ul>
<li>Length: 5 Inches</li>
<li>Width: 5 Inches</li>
<li>Height: 1.5 Inches</li>
</ul>
<p><strong>Requirements:</strong></p>
<ul>
<li>Transmitter: 4 AAA Batteries <strong>(Not Included)</strong>
</li>
<li>Camera: Requires Micro SD Card To Record <strong>(2GB Card Included)</strong>
</li>
<li>Memory Card: 8GB Memory Card&nbsp;<strong>(Not Included)</strong>
</li>
</ul>
                      </div></div>
            </div>",Hobbytron,Home > All > Envision Spy Drone,,"camera drone, drone for spying, drone spy, drone view live, drone with camera, flying, helicopters with cameras that could, live view camera drones, live view drone, spy drone",True,,,,,,,ZX-33713,13.61,shopify,0,deny,manual,37.95,70,True,True,,https://hobbytron.com/cdn/shop/products/ZX-33713-High-Resolution-Image-3_1024x.jpg,,,,,,,,,,New,,,,,,,,True,,,,lb,,39.95,True,True,,,,,,,active,https://www.youtube.com/embed/XmwSaX4gGMg?rel=0,,"{'id': 33076789477479, 'title': 'Default Title', 'option1': '', 'option2': None, 'option3': None, 'sku': 'ZX-33713', 'requires_shipping': True, 'taxable': True, 'featured_image': None, 'available': False, 'name': 'Envision Spy Drone', 'public_title': None, 'options': ['Default Title'], 'price': 3995, 'weight': 1361, 'compare_at_price': 7000, 'inventory_management': 'shopify', 'barcode': '813023017135', 'requires_selling_plan': False, 'selling_plan_allocations': []}",,
xtr-xclusive-silver-sport-rtr-electric-rc-car-8-red-7-silver,XTR Xclusive Sport Enzo Ferrari RTR Electric RC Car,"<div class=""card""><div class=""card__header"">
                    
                  </div><div class=""card__section"">
                      <div class=""rte text--pull"">
                        <p>Gentlemen, start your engines with the XTR Xclusive Silver Sport RTR Electric RC Car! This one of a kind RC is a whole lot of fun for kids or the kid in you! A full function transmitter puts the power and control of this RC car in your hands. The road ready rubber tires will give you complete control of every sharp turn and corner! Light up the room with the working LED headlights and taillights. Not only is this RC fast, but it looks sexy too with detailed high gloss silver paint! All you need to get started is 4 AA batteries for the car and 2 AA batteries for the transmitter. Burn some rubber with the XTR Xclusive Silver Sport RTR Electric RC Car today.</p>
<p><strong>Features:</strong></p>
<ul>
<li>Electric Powered</li>
<li>Full Function Radio Control</li>
<li>Rubber Tires</li>
<li>Extremely Detailed Design</li>
<li>Working LED Headlights and Taillights</li>
</ul>
<p><strong>Includes:</strong></p>
<ul>
<li>XTR Xclusive Silver Sport RTR Electric RC Car</li>
<li>Transmitter</li>
</ul>
<p><strong>Specifications:</strong></p>
<ul>
<li>Length: 6 Inches</li>
<li>Width: 2.5 Inches</li>
<li>Height: 2 Inches</li>
</ul>
<p><strong>Battery Requirements:</strong></p>
<ul>
<li>Vehicle: 4 AA Batteries <strong>(Not Included)</strong>
</li>
<li>Transmitter: 2 AA Batteries <strong>(Not Included)</strong>
</li>
</ul>
                      </div></div>
            </div>",Hobbytron,Home > All > XTR Xclusive Sport Enzo Ferrari RTR E...,,,True,,,,,,,XT-51-10646,0.01,shopify,0,deny,manual,28.49,,True,True,,https://hobbytron.com/cdn/shop/products/XT-51-10646-lg_1024x.jpg,,,,,,,,,,New,,,,,,,,True,,,,lb,,29.99,True,True,,,,,,,active,,,"{'id': 44044663226679, 'title': 'Default Title', 'option1': '', 'option2': None, 'option3': None, 'sku': 'XT-51-10646', 'requires_shipping': True, 'taxable': True, 'featured_image': None, 'available': False, 'name': 'XTR Xclusive Sport Enzo Ferrari RTR Electric RC Car', 'public_title': None, 'options': ['Default Title'], 'price': 2999, 'weight': 1, 'compare_at_price': None, 'inventory_management': 'shopify', 'barcode': None, 'requires_selling_plan': False, 'selling_plan_allocations': []}",,
dino-mold-dinosaur-dough-molding-22-piece-playset,Dino Mold Dinosaur Dough Molding 22 Piece Playset,"<div class=""card""><div class=""card__header"">
                    
                  </div><div class=""card__section"">
                      <div class=""rte text--pull"">
                        <p>Relive the exciting world when dinosaurs roamed the earth with the Imagine Zone Dino Mold Dinosaur Dough Molding 22 Piece Playset. This playset features molds for your favorite dinosaurs from the Jurassic period including prehistoric volcanic molds and plants. This playset also includes 6 colorful activity dough packets. This playset is sure to encourage learning and creativity. Kids will enjoy molding their favorite dinosaurs with the Imagine Zone Dino Mold Dinosaur Dough Molding 22 Piece Playset.</p>
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/NnNhEgNXCrc?rel=0"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>
<p><strong>Features:</strong></p>
<ul type="""">
<li>Encourages Imagination and Creativity</li>
<li>Includes Activity Dough in Multiple Colors</li>
<li>Vibrant and Colorful to Help with Children's Visual Development</li>
<li>Fun Dinosaur Molds</li>
<li>22 Piece Set</li>
</ul>
<p><strong>Includes:</strong></p>
<ul type="""">
<li>5x Dinosaur Molds</li>
<li>3x Plant Molds</li>
<li>Volcano Mold</li>
<li>Activity Dough String Mold</li>
<li>2x Activity Dough Trays</li>
<li>2x Activity Dough Tools</li>
<li>6x Multi-Color Activity Dough Packets</li>
</ul>
                      </div></div>
            </div>",Hobbytron,Home > All > Dino Mold Dinosaur Dough Molding 22 P...,,,True,,,,,,,ZX-36047,4.54,shopify,10,deny,manual,9.45,20,True,True,,https://hobbytron.com/cdn/shop/products/DINOSAUR-DOUGH-MOLDING-PLAYSET-MAIN_1024x.jpg,,,,,,,,,,New,,,,,,,,True,,,,lb,,9.95,True,True,,,,,,,active,https://www.youtube.com/embed/NnNhEgNXCrc?rel=0,,"{'id': 43639739318583, 'title': 'Default Title', 'option1': '', 'option2': None, 'option3': None, 'sku': 'ZX-36047', 'requires_shipping': True, 'taxable': True, 'featured_image': None, 'available': True, 'name': 'Dino Mold Dinosaur Dough Molding 22 Piece Playset', 'public_title': None, 'options': ['Default Title'], 'price': 995, 'weight': 454, 'compare_at_price': 2000, 'inventory_management': 'shopify', 'barcode': '810086390472', 'requires_selling_plan': False, 'selling_plan_allocations': []}",,
dino-mold-dinosaur-dough-molding-22-piece-playset,,,,,,,,,,,,,,,,,,,,,,,,,https://hobbytron.com/cdn/shop/products/IMG_7525_1024x.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
